path,foundType,descriptiveType,unique,default,description,choices,regex
data/manifest.js:$.dataTypes.adMobileConversionsAttributed.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adMobileConversionsUnattributed,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adMobileConversionsUnattributed.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adMobileConversionsUnattributed.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adMobileConversionsUnattributed.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adMobileConversionsUnattributed.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adMobileConversionsUnattributed.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsAttributed,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsAttributed.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsAttributed.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsAttributed.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsAttributed.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsAttributed.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsUnattributed,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsUnattributed.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsUnattributed.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsUnattributed.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsUnattributed.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.adOnlineConversionsUnattributed.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ageinfo,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ageinfo.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ageinfo.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ageinfo.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ageinfo.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.ageinfo.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.app,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.app.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.app.files[*],dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.app.files[*].fileName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.app.files[*].globalName,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.app.files[*].count,str,None,None,None,None,None,None
data/manifest.js:$.dataTypes.birdwatchNote,dict,None,None,None,None,None,None
data/manifest.js:$.dataTypes.birdwatchNote.files,list,None,None,None,None,None,None
data/manifest.js:$.dataTypes.birdwatchNote.files[*],dict,None,None,None,None,None,None
